ID,VWO EG1,VWO EG2,VWO EG3,VWO EG4,VWO EG5,VWO EG6,Doorlopend?,HAVO EG1,HAVO EG2,HAVO EG3,HAVO EG4,HAVO EG5,Doorlopend?,,MAVO EG1,MAVO EG2,MAVO EG3,MAVO EG4,Doorlopend?
2842197,,,,,,,FALSE,,,,,,FALSE,,,,,6.554545455,FALSE
2842320,,,,6.211111111,6.490909091,6.158333333,FALSE,,,,,,FALSE,,,,,,FALSE
2843427,,,,,,,FALSE,,,,6.76,6.67,FALSE,,,,,,FALSE
2843550,,,,,,,FALSE,,,,6.95,6.34,FALSE,,,,,,FALSE
2843673,,,,,,,FALSE,,,,,,FALSE,,,,,6.37,FALSE
2843919,,,,6.37,6.258333333,6.361538462,FALSE,,,,,,FALSE,,,,,,FALSE
2844042,,,,6.777777778,6.936363636,6.8,FALSE,,,,,,FALSE,,,,,,FALSE
2844165,,,,,,,FALSE,,,,8.16,7.96,FALSE,,,,,,FALSE
2844288,,,6.188666667,,,,FALSE,,,,6.316666667,6.191666667,FALSE,,,,,,FALSE
2844411,,,,,,,FALSE,,,,6.16,6.12,FALSE,,,,,,FALSE
2844903,,,,,,,FALSE,,,,,,FALSE,,,,,6.43,FALSE
2845026,,,,,,,FALSE,,,,,,FALSE,,,,,6.1,FALSE
2845149,,,,6.155555556,5.518181818,6.35,FALSE,,,,,,FALSE,,,,,,FALSE
2845272,,,,,,,FALSE,,,,5.89,5.909090909,FALSE,,,,,,FALSE
2845887,,,,5.011111111,,,FALSE,,,,,,FALSE,,,,,,FALSE
2846379,,,,,,,FALSE,,,,,,FALSE,,,,,6.52,FALSE
2846502,,,,,,,FALSE,,,,6.39,6.62,FALSE,,,,,,FALSE
2846871,,,,,,,FALSE,,,,7.11,7.34,FALSE,,,,,,FALSE
2846994,,,,,,,FALSE,,,,,,FALSE,,,,,6.7,FALSE
2847240,,,,,,,FALSE,,,,6.04,6.04,FALSE,,,,,,FALSE
2847978,,,,,,,FALSE,,,,,,FALSE,,,,,6.581818182,FALSE
2849208,,,,,,,FALSE,,,,5.68,,FALSE,,,,,,FALSE
2849331,,,,,,,FALSE,,,,,,FALSE,,,,,7.072727273,FALSE
2849577,,,,,,,FALSE,,,,,,FALSE,,,,,6.46,FALSE
2849700,,,,6.066666667,5.972727273,,FALSE,,,,,6.663636364,FALSE,,,,,,FALSE
2849823,,,,,,,FALSE,,,6.326666667,6.081818182,5.918181818,FALSE,,,,,,FALSE
2850684,,,,,,,FALSE,,,,6.78,6.79,FALSE,,,,,,FALSE
2850930,,,,,,,FALSE,,,,,,FALSE,,,,,6.290909091,FALSE
2852283,,,,,,,FALSE,,,,5.77,5.82,FALSE,,,,,,FALSE
2852406,,,,,,,FALSE,,,,6.73,6.68,FALSE,,,,,,FALSE
2852652,,,,,,,FALSE,,,,,,FALSE,,,,,6.145454545,FALSE
2852898,,,,,,,FALSE,,,,,,FALSE,,,,,6.45,FALSE
2854005,,,,,,,FALSE,,,,,,FALSE,,,,,6.4,FALSE
2854251,,,,,,,FALSE,,,,,,FALSE,,,,,7.490909091,FALSE
2855481,,,,,,,FALSE,,,,,,FALSE,,,,,7.163636364,FALSE
2855973,,,,,,,FALSE,,,5.986,5.927272727,6.009090909,FALSE,,,,,,FALSE
2856219,,,,6.111111111,6.118181818,6.15,FALSE,,,,,,FALSE,,,,,,FALSE
2864706,,,,,,,FALSE,,,,,,FALSE,,,,,6.42,FALSE
2864829,,,,,,,FALSE,,,,6.67,6.54,FALSE,,,,,,FALSE
2864952,,,,,,,FALSE,,,,,,FALSE,,,,,6.327272727,FALSE
2865444,,,,,,,FALSE,,,,,,FALSE,,,,,6.19,FALSE
2865567,,,,,,,FALSE,,,,6.36,6.3,FALSE,,,,,,FALSE
2865690,,,,,,,FALSE,,,,6.18,5.95,FALSE,,,,,,FALSE
2865813,,,,,,,FALSE,,,,,,FALSE,,,,,6.01,FALSE
2865936,,,,,,,FALSE,,,,6.13,6.07,FALSE,,,,,,FALSE
2866059,,,,,,,FALSE,,,,,,FALSE,,,,,6.47,FALSE
2866182,,,,7.977777778,8.154545455,7.958333333,FALSE,,,,,,FALSE,,,,,,FALSE
2866305,,,,7.75,7.7,7.875,FALSE,,,,,,FALSE,,,,,,FALSE
2866428,,,,,,,FALSE,,,,,,FALSE,,,,,5.75,FALSE
2866551,,,,,,,FALSE,,,,,,FALSE,,,,,5.96,FALSE
2866674,,,,,,,FALSE,,,,,,FALSE,,,,,6,FALSE
2866797,,,,6.133333333,6.2,6.225,FALSE,,,,,,FALSE,,,,,,FALSE
2867166,,,,,,,FALSE,,,6.92,5.954545455,5.263636364,FALSE,,,,,,FALSE
2870487,,,,,,6.154545455,FALSE,,,,,,FALSE,,,,,,FALSE
2870610,,,,,,,FALSE,,,,,5.97,FALSE,,,,,,FALSE
2871102,,,,,,,FALSE,,,,,5.94,FALSE,,,,,,FALSE
2871717,,,,,,,FALSE,,,,6,5.93,FALSE,,,,,,FALSE
2874054,,,,,,,FALSE,,,,,,FALSE,,,,,6.16,FALSE
2877990,,,,,,,FALSE,,,6.124,,,FALSE,,,,,6.91,FALSE
2878113,,,,,,,FALSE,,,6.53,6.1,6.036363636,FALSE,,,,,,FALSE
2878236,,,,,,,FALSE,,,,,,FALSE,,,,6.218181818,6.36,FALSE
2878359,,,6.342,,,,FALSE,,,,6.609090909,6.563636364,FALSE,,,,,,FALSE
2878605,,,,,,,FALSE,,,,,,FALSE,,,,5.554545455,,FALSE
2879343,,,,,,,FALSE,,,,,,FALSE,,,,6.8,6.936363636,FALSE
2880942,,,,,,,FALSE,,,6.682,6.666666667,6.358333333,FALSE,,,,,,FALSE
2881188,,,,,,,FALSE,,,,6.727272727,6.718181818,FALSE,,,,6.972727273,7.063636364,FALSE
2881311,,,,,,,FALSE,,,6.343333333,6.409090909,6.290909091,FALSE,,,,,,FALSE
2881434,,,,,,,FALSE,,,,,,FALSE,,,,6.872727273,6.6,FALSE
2881557,,,,,,,FALSE,,,6.48,5.863636364,5.727272727,FALSE,,,,,,FALSE
2881803,,,,,,,FALSE,,,6.378,,,FALSE,,,,,,FALSE
2883525,,,,,,,FALSE,,,,,,FALSE,,,,6.536363636,6.51,FALSE
2883771,,,,,,,FALSE,,,,,,FALSE,,,6.455,6.191666667,6.136363636,FALSE
2885616,,,,,,,FALSE,,,6.306,5.445454545,6.418181818,FALSE,,,,,,FALSE
2885739,,,,,,,FALSE,,,,,,FALSE,,,,7.281818182,7.38,FALSE
2885985,,,,,,,FALSE,,,6.86,6.863636364,6.972727273,FALSE,,,,,,FALSE
2886108,,,,,,,FALSE,,,6.213333333,,,FALSE,,,,,6.75,FALSE
2886354,,,,,,,FALSE,,,,,,FALSE,,,6.656,6.275,6.12,FALSE
2886477,,,7.444,7.877777778,7.772727273,7.983333333,FALSE,,,,,,FALSE,,,,,,FALSE
2886600,,,,,,,FALSE,,,6.389333333,6.290909091,6.627272727,FALSE,,,,,,FALSE
2886723,,,,,,,FALSE,,,,,,FALSE,,,,6.436363636,6.35,FALSE
2887215,,,7.445,6.7,6.454545455,6.741666667,FALSE,,,,,,FALSE,,,,,,FALSE
2887707,,,,,,,FALSE,,,,5.97,5.76,FALSE,,,,,,FALSE
2888076,,,,,,,FALSE,,,,,,FALSE,,,,6.572727273,6.727272727,FALSE
2888199,,,6.802666667,7.066666667,7.172727273,7.283333333,FALSE,,,,,,FALSE,,,,,,FALSE
2888322,,,,,,,FALSE,,,6.572666667,6.283333333,6.457142857,FALSE,,,,,,FALSE
2888814,,,,,,,FALSE,,6.353636364,5.712666667,,,FALSE,,,,,,FALSE
2890782,,,,,,,FALSE,,,,,,FALSE,,,,6.172727273,5.966666667,FALSE
2891028,,,6.742,6.6,6.490909091,6.55,FALSE,,,,,,FALSE,,,,,,FALSE
2891151,,,,,,,FALSE,,,,,,FALSE,,,,7.327272727,7.46,FALSE
2892504,,,,,,,FALSE,,,,5.818181818,,FALSE,,,,6.727272727,6.79,FALSE
2896686,,,,,,,FALSE,,,6.477333333,6.272727273,6.127272727,FALSE,,,,,,FALSE
2900622,,,,,,,FALSE,,,,,,FALSE,,,,,6.18,FALSE
2901483,,,5.861333333,,,,FALSE,,,,6.59,6.536363636,FALSE,,,,,,FALSE
2901606,,,,,,,FALSE,,,,,,FALSE,,,,6.709090909,6.84,FALSE
2901729,,,7.346666667,6.83,6.7,6.784615385,FALSE,,,,,,FALSE,,,,,,FALSE
2901852,,,6.471333333,,,,FALSE,,,,7,6.818181818,FALSE,,,,,,FALSE
2901975,,,6.640666667,,,,FALSE,,,,7.045454545,7.072727273,FALSE,,,,,,FALSE
2902467,,,,,,,FALSE,,,7.04,6.081818182,6.118181818,FALSE,,,,,,FALSE
2902590,,,6.232,,,,FALSE,,,,6.118181818,6.145454545,FALSE,,,,,,FALSE
2902713,,,,,,,FALSE,,,,,,FALSE,,,,5.82,5.92,FALSE
2902836,,,6.162666667,6.777777778,6.4,6.575,FALSE,,,,,,FALSE,,,,,,FALSE
2902959,,,6.618,6.222222222,5.99,6.483333333,FALSE,,,,,,FALSE,,,,,,FALSE
2903082,,,,,,,FALSE,,,6.081333333,5.22,,FALSE,,,,,,FALSE
2903205,,,7.137333333,7.055555556,6.672727273,6.508333333,FALSE,,,,,,FALSE,,,,,,FALSE
2903451,,,,,,,FALSE,,,,,,FALSE,,,,6.509090909,6.3,FALSE
2903574,,,6.906,6.355555556,6.009090909,,FALSE,,,,,6.666666667,FALSE,,,,,,FALSE
2903697,,,,,5.818181818,5.890909091,FALSE,,,,,,FALSE,,,,,,FALSE
2904066,,,6.690666667,7.233333333,6.990909091,7.033333333,FALSE,,,,,,FALSE,,,,,,FALSE
2904189,,,,,,,FALSE,,,,,,FALSE,,,,6.209090909,6.28,FALSE
2904312,,,,,,,FALSE,,,5.715333333,,,FALSE,,,,,6.627272727,FALSE
2904681,,,,,,,FALSE,,,6.327333333,6.081818182,6.263636364,FALSE,,,,,,FALSE
2906526,,,,,,,FALSE,,,6.452666667,6.209090909,,FALSE,,,,,,FALSE
2907141,,,,,,,FALSE,,,,4.59,,FALSE,,,,6.336363636,6.533333333,FALSE
2907264,,,,,,,FALSE,,,6.272,5.963636364,6.063636364,FALSE,,,,,,FALSE
2907387,,,,,,,FALSE,,,,7.045454545,6.890909091,FALSE,,,,6.845454545,6.958333333,FALSE
2908371,,,,,,,FALSE,,,,,,FALSE,,,,6.958333333,6.909090909,FALSE
2908494,,,,,,,FALSE,,,6.476,5.763636364,,FALSE,,,,,,FALSE
2908617,,,,,,,FALSE,,,,,,FALSE,,,,6.290909091,6.55,FALSE
2908740,,,,,,,FALSE,,,6.030666667,3.99,,FALSE,,,,,,FALSE
2908863,,,,,,,FALSE,,,6.778,6.381818182,6.57,FALSE,,,,,,FALSE
2908986,,,,,,,FALSE,,,5.596,,,FALSE,,,,,6.61,FALSE
2909478,,,,,,,FALSE,,5.875,,,,FALSE,,,,6.016666667,6.027272727,FALSE
2909601,,,6.723333333,6.122222222,6.06,6.391666667,FALSE,,,,,,FALSE,,,,,,FALSE
2909724,,,,,,,FALSE,,,,,,FALSE,,,,6.463636364,6.490909091,FALSE
2909847,,,,,,,FALSE,,6.292727273,6.026666667,5.890909091,5.809090909,FALSE,,,,,,FALSE
2911569,,6.687,5.973333333,,,,FALSE,,,,5.736363636,6.833333333,FALSE,,,,,,FALSE
2918457,,,,,,,FALSE,,,,,,FALSE,,,,6.436363636,6.46,FALSE
2918703,,,,,,,FALSE,,,6.446666667,6.881818182,6.736363636,FALSE,,,,,,FALSE
2918826,,,,,,,FALSE,,,6.769333333,6.12,6.063636364,FALSE,,,,,,FALSE
2919072,,,,,,,FALSE,,,6.312666667,6.1,6.218181818,FALSE,,,,,,FALSE
2919318,,,,,,,FALSE,,,,,,FALSE,,,,,6.1,FALSE
2919441,,,,,,,FALSE,,,,,,FALSE,,,,6.109090909,6.033333333,FALSE
